rad,res
0,0
0.015708,0.015686
0.0314159,0.0314026
0.0471239,0.0471191
0.0628319,0.0627747
0.0785398,0.0784607
0.0942478,0.0941162
0.109956,0.109741
0.125664,0.125336
0.141372,0.1409
0.15708,0.156464
0.172788,0.171936
0.188496,0.187378
0.204204,0.202789
0.219911,0.21817
0.235619,0.233429
0.251327,0.248688
0.267035,0.263885
0.282743,0.278961
0.298451,0.294037
0.314159,0.30899
0.329867,0.323944
0.345575,0.338715
0.361283,0.353455
0.376991,0.368134
0.392699,0.38266
0.408407,0.397156
0.424115,0.411499
0.439823,0.425781
0.455531,0.439941
0.471239,0.453979
0.486947,0.467926
0.502655,0.48172
0.518363,0.495453
0.534071,0.509033
0.549779,0.522491
0.565487,0.535797
0.581195,0.549042
0.596903,0.562073
0.612611,0.575012
0.628319,0.587769
0.644026,0.600433
0.659734,0.612915
0.675442,0.625244
0.69115,0.637421
0.706858,0.649475
0.722566,0.661316
0.738274,0.673004
0.753982,0.68457
0.76969,0.695892
0.785398,0.707092
0.801106,0.71814
0.816814,0.729004
0.832522,0.739685
0.84823,0.750092
0.863938,0.760406
0.879646,0.770538
0.895354,0.780457
0.911062,0.790161
0.92677,0.799713
0.942478,0.809021
0.958186,0.818176
0.973894,0.827087
0.989602,0.835815
1.00531,0.84436
1.02102,0.852631
1.03673,0.860748
1.05243,0.868652
1.06814,0.876312
1.08385,0.883789
1.09956,0.891022
1.11527,0.898041
1.13097,0.904816
1.14668,0.911438
1.16239,0.917786
1.1781,0.923889
1.19381,0.929779
1.20951,0.935455
1.22522,0.940887
1.24093,0.946106
1.25664,0.95105
1.27235,0.955811
1.28805,0.960266
1.30376,0.964569
1.31947,0.968597
1.33518,0.972382
1.35088,0.975922
1.36659,0.979248
1.3823,0.9823
1.39801,0.985107
1.41372,0.987701
1.42942,0.990021
1.44513,0.992126
1.46084,0.993958
1.47655,0.995544
1.49226,0.996948
1.50796,0.998047
1.52367,0.998901
1.53938,0.999512
1.55509,0.999908
1.5708,0.999985
